ID,History,Psychology,Politics,Mathematics,Physics,Internet,PC,Economy.Management,Biology,Chemistry,Reading,Geography,Foreign.languages,Medicine,Law,Cars,Art.exhibitions,Religion,Countryside..outdoors,Dancing,Musical.instruments,Writing,Passive.sport,Active.sport,Gardening,Celebrities,Shopping,Science.and.technology,Theatre,Fun.with.friends,Adrenaline.sports,Pets,Gender
166,3,4,5,2,1,5,4,4,1,1,5,4,5,2,5,2,4,3,5,4,4,2,2,2,1,2,5,4,5,5,4,2,female
167,2,2,2,2,2,2,2,3,2,4,4,3,4,2,1,1,3,1,4,1,3,1,2,5,1,1,2,3,4,4,3,1,female
168,3,3,3,1,2,4,3,3,3,2,1,3,1,2,2,2,1,1,2,1,1,1,5,2,1,1,2,4,1,3,2,4,male
169,3,4,4,1,1,5,5,5,1,1,4,3,3,1,5,2,1,1,1,1,1,4,4,4,1,3,4,5,3,5,5,1,female
170,4,2,2,1,1,3,1,1,2,1,5,3,5,1,2,1,4,2,3,1,4,4,1,1,1,1,3,1,5,4,3,4,female
171,5,4,5,5,3,3,1,5,4,1,3,5,4,4,4,1,2,3,5,2,5,3,3,5,1,1,1,1,3,5,3,4,male
172,4,4,4,1,1,5,5,5,1,1,4,3,3,1,5,1,1,1,1,1,1,4,4,4,1,4,4,5,3,5,4,1,male
173,5,4,4,3,3,5,5,2,2,2,2,5,4,2,3,2,2,1,4,1,1,5,5,2,1,1,1,5,3,5,2,3,male
174,3,2,1,4,2,5,5,2,2,3,1,2,4,2,1,5,1,1,4,1,1,2,4,3,1,1,4,5,3,5,2,5,male
175,5,1,3,1,1,5,1,NA,1,NA,4,5,3,3,3,5,5,5,NA,5,5,5,5,NA,5,3,5,5,5,4,1,3,male
176,1,5,1,1,1,4,1,1,3,1,5,1,5,5,1,5,1,1,4,1,5,1,5,4,2,3,1,1,3,3,3,5,female
177,1,1,1,5,4,5,5,4,1,2,1,1,3,1,2,5,3,1,5,2,2,1,1,5,1,1,3,4,3,4,3,4,male
178,3,3,1,1,1,NA,1,1,1,1,4,NA,2,2,1,1,3,1,5,1,3,4,4,4,4,3,2,4,3,5,1,5,male
179,4,4,1,3,3,3,3,1,3,3,4,3,5,3,1,1,2,3,3,1,1,4,1,1,3,2,3,3,3,3,1,3,female
180,5,5,3,2,2,5,3,2,4,2,2,2,4,3,3,1,4,4,5,3,4,2,2,3,2,1,4,4,2,3,4,4,male
181,4,5,5,4,3,5,3,5,1,1,5,4,4,1,1,5,1,1,1,1,1,1,1,1,1,1,5,4,4,5,5,1,male
182,4,4,2,2,3,3,3,3,2,NA,3,3,3,3,3,5,3,4,3,2,2,2,3,3,2,2,2,3,3,4,2,2,male
183,3,2,3,2,2,4,2,2,5,4,4,2,4,5,2,2,3,2,4,1,1,1,3,4,2,2,5,5,5,5,3,5,female
184,5,5,5,2,2,4,1,2,4,2,5,5,3,3,1,1,4,1,5,3,1,3,3,5,3,1,3,5,4,5,5,5,male
185,3,3,1,1,1,3,1,1,1,1,5,3,2,1,1,1,5,3,1,2,1,5,2,2,1,1,3,2,5,3,1,2,female
186,2,5,2,5,2,3,2,1,5,1,5,2,3,1,2,2,3,5,5,1,2,1,5,3,5,1,3,2,5,5,4,5,female
187,3,3,3,1,1,2,1,4,1,1,5,3,2,1,2,1,2,3,4,3,2,1,3,4,4,3,4,1,4,4,2,4,female
188,5,3,1,1,1,5,2,1,1,1,3,2,2,1,1,1,2,1,2,1,1,3,2,1,1,2,1,2,1,2,3,2,female
189,4,1,3,1,5,5,5,1,2,5,5,4,3,5,3,3,1,5,5,2,2,3,3,3,3,2,2,3,3,3,3,NA,female
190,4,3,2,3,1,5,3,3,1,1,5,2,5,1,2,1,2,2,4,3,1,1,2,3,1,1,2,3,1,3,3,1,female
191,3,3,2,5,3,5,4,3,5,4,5,3,3,4,1,2,1,1,2,1,1,1,4,5,4,1,3,3,2,4,4,2,female
192,3,4,1,1,1,4,4,1,1,1,3,2,1,1,1,1,5,1,3,4,5,1,2,2,4,3,2,1,5,4,1,2,female
193,3,3,2,1,1,5,4,4,3,1,3,2,5,1,2,1,2,1,3,4,1,5,2,4,1,5,4,1,2,5,2,5,female
194,3,3,1,1,3,3,2,1,3,1,4,2,2,2,1,1,3,3,4,1,3,4,4,4,4,1,2,3,3,5,1,5,male
195,2,3,2,1,1,4,4,4,1,1,4,3,4,1,3,3,3,1,3,1,5,3,5,2,1,1,2,4,2,4,4,1,male
196,3,3,2,1,1,5,5,3,3,1,2,5,4,3,3,4,2,2,3,2,2,3,4,4,3,4,4,5,3,4,3,1,male
197,4,4,2,1,1,5,3,3,3,1,4,4,5,4,2,3,2,1,5,3,1,1,5,5,1,2,3,3,3,5,4,1,female
198,2,1,1,1,1,4,2,4,1,1,1,4,3,1,1,3,1,1,5,5,1,1,5,1,1,2,4,1,4,5,1,4,female
199,4,3,2,1,1,3,4,1,1,1,2,1,3,1,1,4,1,1,4,1,3,1,2,4,1,1,2,3,1,5,3,4,male
200,2,2,1,1,2,3,3,NA,2,1,4,3,3,1,1,4,3,1,4,4,2,1,3,5,1,1,3,4,1,5,5,3,male
201,3,2,3,1,3,5,5,3,1,1,3,4,4,2,2,3,2,1,1,1,1,1,5,2,1,1,2,4,2,2,2,5,male
202,4,5,1,1,1,5,2,5,1,1,5,5,5,1,5,1,1,1,5,1,5,5,4,4,1,4,5,5,5,5,1,5,NA
203,2,2,2,1,1,4,4,3,5,4,1,3,5,3,1,4,1,1,2,5,2,1,NA,4,1,3,4,4,1,5,3,4,male
204,2,2,1,3,2,5,4,3,5,5,3,1,4,5,3,4,3,2,3,5,1,1,4,3,3,1,4,1,2,5,4,3,female
205,1,2,1,4,3,5,4,3,1,2,5,2,2,1,1,1,1,1,3,1,3,1,1,1,1,1,1,4,4,4,1,3,female
206,5,4,1,1,2,2,2,1,4,4,5,3,5,5,1,1,4,4,4,4,3,5,1,4,4,1,1,4,5,5,1,2,female
207,5,3,5,4,4,4,4,2,2,4,5,3,5,3,5,4,5,3,4,1,3,3,3,3,1,1,1,4,5,4,3,3,male
208,5,2,4,1,1,4,2,2,3,2,5,5,4,3,5,4,2,2,4,2,1,2,5,5,2,3,3,4,3,4,2,5,female
209,3,3,3,1,1,2,1,1,3,2,3,3,4,2,1,3,5,1,4,2,3,2,3,5,1,4,5,3,2,5,5,5,female
210,4,4,4,4,3,4,5,3,2,2,4,5,3,2,4,3,3,4,4,1,1,1,5,5,1,1,1,4,4,5,4,3,male
211,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,2,3,2,5,5,5,5,4,4,5,4,5,male
212,1,3,2,1,1,5,5,4,1,1,3,2,5,1,1,3,1,1,3,5,1,1,3,5,1,5,5,1,4,5,3,4,female
213,5,3,4,5,5,5,5,4,3,3,5,4,4,3,4,3,5,1,5,2,5,5,5,1,4,1,4,4,5,5,2,1,male
214,3,3,3,3,4,5,4,4,5,5,5,4,5,5,4,5,3,3,5,2,1,1,3,3,3,4,4,5,4,5,4,4,female
215,4,3,3,3,3,4,3,2,5,5,4,5,5,5,4,4,4,2,2,1,1,2,2,3,2,4,4,5,4,4,2,3,female
216,3,1,1,1,1,3,1,1,1,1,1,3,1,1,1,3,1,1,3,5,1,1,5,5,1,3,3,1,1,5,4,1,male
217,3,3,2,3,4,4,1,1,4,4,3,1,3,5,3,1,2,1,3,1,1,1,1,3,1,1,4,1,2,4,3,1,female
218,2,3,1,2,1,5,4,3,2,2,5,5,5,1,2,1,4,3,4,3,4,3,3,2,2,2,2,2,5,5,4,5,female
219,2,1,5,2,4,5,4,2,5,5,3,3,5,5,3,4,1,2,4,5,5,1,2,4,1,3,3,5,3,5,4,5,male
220,5,3,4,1,2,5,3,3,1,1,1,5,3,1,3,5,2,1,2,1,1,1,5,5,1,3,5,5,1,5,5,NA,male
221,3,3,1,1,1,3,4,1,5,5,3,1,5,3,2,4,3,2,4,2,5,1,5,5,3,1,3,4,2,5,3,5,male
222,3,4,1,4,4,5,5,3,2,1,3,5,5,3,3,4,4,1,5,1,5,3,3,5,3,1,2,5,3,5,4,4,male
223,2,3,1,2,2,3,2,2,1,1,3,3,3,1,1,1,1,2,4,1,1,2,4,2,3,3,4,3,2,3,1,1,female
224,4,5,2,3,2,5,3,2,5,3,5,3,4,2,2,2,3,3,4,5,4,4,5,5,2,2,3,3,3,5,5,5,female
225,2,4,3,1,3,5,4,4,1,1,1,1,2,1,1,2,1,3,1,1,1,1,4,1,1,1,2,4,2,3,1,1,male
226,3,3,4,4,4,5,4,4,2,2,4,4,4,3,2,5,3,3,4,3,3,1,4,2,1,1,2,5,3,5,4,3,male
227,2,1,3,1,1,5,3,3,1,1,1,4,2,1,1,1,1,2,NA,4,1,1,5,3,5,5,5,3,3,5,3,5,NA
228,5,4,3,3,4,4,4,2,4,4,5,5,5,4,3,4,4,4,4,1,1,2,4,2,1,1,3,3,5,3,1,3,female
229,3,3,2,3,3,3,3,3,4,5,4,3,4,4,2,1,5,3,5,4,4,1,4,2,4,1,2,4,4,5,2,5,female
230,2,1,1,4,2,5,5,2,3,2,1,5,3,2,2,2,2,2,5,2,4,1,5,3,2,1,2,4,2,4,5,1,male
231,4,4,4,3,1,4,2,5,2,2,5,4,5,2,1,2,3,3,4,5,1,1,5,4,1,3,5,3,3,5,3,4,female
232,2,4,2,2,1,5,3,4,2,1,3,4,5,4,4,3,2,1,5,5,4,3,4,2,4,5,5,2,3,5,2,5,female
233,1,2,4,4,1,5,4,5,1,1,1,5,5,1,3,1,1,1,5,2,5,1,5,2,3,2,4,2,1,5,1,1,female
234,1,4,1,1,1,4,2,2,4,4,4,1,3,3,2,2,2,2,4,4,1,3,5,5,3,3,3,2,3,4,3,5,female
235,1,1,1,5,4,5,2,5,2,2,1,1,2,1,3,3,1,1,2,2,1,1,4,2,3,3,5,2,1,5,3,5,female
236,5,5,4,1,1,5,1,1,2,3,5,4,4,1,5,2,1,5,2,1,1,3,5,1,3,1,5,1,4,5,1,3,female
237,5,4,5,3,2,5,3,2,3,4,5,2,5,2,5,2,5,2,2,2,2,2,4,4,3,2,5,5,5,5,1,5,female
238,2,2,3,4,1,4,1,5,1,1,4,5,5,2,1,4,2,1,4,4,2,1,5,2,1,2,4,3,2,5,5,5,female
239,2,3,2,2,2,4,2,4,2,1,1,2,5,1,1,2,1,1,3,2,1,1,2,2,1,3,5,3,3,5,1,3,female
240,4,2,4,1,2,3,1,3,4,2,4,4,3,2,3,2,4,2,3,3,2,3,2,4,3,1,4,3,4,4,3,4,female
241,3,3,5,2,2,5,5,4,2,2,1,3,3,2,4,5,3,1,3,1,1,1,5,5,2,3,2,3,2,4,5,3,male
242,3,4,4,4,5,4,3,1,2,1,2,2,5,3,5,4,3,1,2,1,1,2,5,3,1,5,5,3,4,5,3,5,female
243,3,3,2,1,1,4,3,4,2,1,4,1,5,2,2,1,5,4,3,2,2,2,2,2,2,2,5,2,5,5,1,2,female
244,4,5,2,4,1,4,3,2,5,3,5,2,5,5,1,1,2,2,2,1,1,4,2,1,4,3,2,5,3,2,1,1,female
245,1,5,2,1,1,5,1,1,3,1,5,1,3,3,1,1,1,1,2,1,1,1,2,3,1,5,5,1,4,5,1,5,female
246,3,5,2,1,1,2,1,3,1,1,5,5,3,1,1,1,5,1,5,2,1,5,5,5,2,2,2,3,5,5,5,5,female
247,5,3,2,5,4,5,5,4,1,1,1,2,1,1,5,3,1,1,1,1,1,1,1,5,1,1,5,4,2,5,3,5,male
248,3,2,1,1,2,3,1,3,5,4,5,5,5,5,3,1,4,1,5,5,2,1,2,5,3,3,4,NA,4,5,4,1,female
249,5,5,3,2,2,4,2,3,2,2,5,2,5,3,5,1,3,1,2,3,4,1,2,2,1,1,4,3,4,5,4,3,female
250,4,4,2,1,1,5,3,1,5,5,3,3,2,5,1,1,2,5,5,3,3,3,5,3,2,1,4,4,3,5,5,5,female
251,1,1,2,1,1,4,3,4,1,1,5,2,4,1,1,1,1,2,4,3,1,2,5,3,1,4,5,1,3,5,4,1,female
252,2,2,2,1,1,5,4,2,5,5,4,1,4,4,1,2,3,2,4,1,3,1,5,4,3,1,4,4,4,5,1,5,female
253,3,4,2,1,1,5,4,2,1,1,5,3,5,2,1,2,2,2,4,3,3,5,5,3,5,3,5,3,3,5,2,5,female
254,1,3,1,1,5,5,5,1,3,1,1,1,2,2,1,5,1,5,5,2,1,1,5,2,5,2,5,5,1,5,1,1,female
255,2,4,3,2,1,5,3,4,1,1,2,1,2,5,3,3,1,1,3,1,1,1,4,1,3,5,5,1,2,5,1,5,female
256,2,5,1,2,2,4,2,1,4,4,5,3,5,4,1,1,4,5,5,3,5,5,3,5,1,1,1,4,5,5,4,3,female
257,3,2,2,1,1,5,2,3,1,1,2,2,2,1,3,3,1,1,2,3,2,1,1,5,1,5,5,1,1,5,3,1,female
258,4,2,4,5,3,5,5,2,2,2,1,3,4,1,1,5,2,4,5,2,2,1,5,5,1,3,3,5,3,5,4,1,male
259,2,2,2,4,4,5,3,1,1,1,5,5,3,1,1,1,1,3,5,1,3,1,4,2,1,1,1,4,3,5,1,2,female
260,5,4,4,1,2,2,2,2,4,3,5,4,4,3,4,4,2,3,5,NA,2,2,5,2,1,1,1,3,5,5,1,1,male
261,3,3,3,1,3,3,3,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,male
262,3,2,4,4,2,5,5,5,2,1,5,1,5,1,4,2,3,2,5,5,4,5,2,5,4,4,5,2,2,5,3,5,female
263,3,5,4,3,2,3,3,2,2,2,5,NA,5,3,3,1,4,2,5,3,5,5,4,1,4,1,3,3,4,4,1,3,female
264,1,4,2,3,2,3,2,3,4,1,3,3,5,2,4,3,3,1,2,2,1,3,5,4,2,2,5,1,3,5,2,3,female
265,2,2,2,2,2,5,5,2,5,5,3,2,3,5,3,3,4,1,3,1,1,1,1,5,3,3,3,5,5,5,4,5,female
266,1,1,1,2,1,5,5,1,2,2,3,1,3,2,2,1,1,1,1,1,1,1,3,1,1,3,4,1,2,5,1,5,female
267,3,3,1,4,3,4,4,4,3,1,5,5,5,2,1,3,3,1,4,3,2,1,2,4,3,3,4,3,3,5,4,4,female
268,4,4,4,3,4,3,2,2,3,2,5,2,4,2,2,1,3,4,5,4,4,2,3,3,1,1,3,4,5,5,4,5,female
269,1,2,2,5,3,5,2,1,5,5,1,1,4,3,1,1,1,1,4,5,1,1,5,2,4,2,5,4,1,5,3,5,female
270,3,3,3,2,2,3,2,1,5,4,5,3,5,5,4,1,2,5,4,1,2,2,1,1,2,1,2,5,2,4,3,3,female
271,3,5,3,1,1,5,4,2,2,1,4,4,4,2,2,1,2,1,2,NA,1,1,1,1,1,5,5,2,5,5,1,5,female
272,4,1,3,2,1,4,4,2,2,1,4,3,3,2,2,5,2,1,4,3,1,1,4,5,1,4,4,3,3,5,5,5,male
273,3,4,2,3,2,3,1,1,5,5,5,3,4,5,1,1,5,3,5,1,1,2,1,2,2,1,2,4,5,5,1,5,female
274,3,4,3,2,1,5,4,4,3,2,4,4,5,3,4,2,4,1,4,3,3,2,4,4,1,2,4,4,3,5,5,1,female
275,5,5,5,1,1,3,3,3,1,1,4,2,2,2,5,4,3,1,5,4,2,4,2,4,5,1,1,4,4,5,3,4,female
276,5,5,4,2,2,5,5,3,2,2,5,3,5,2,3,3,5,3,2,3,2,5,4,2,2,4,5,4,5,5,1,2,female
277,4,1,1,3,1,5,1,4,1,1,4,1,4,1,2,1,1,3,4,2,4,1,5,2,1,2,4,1,3,5,5,1,female
278,5,3,4,2,2,5,5,4,1,1,2,2,5,2,4,3,1,1,1,1,1,1,4,5,1,1,2,3,2,5,2,1,male
279,4,3,3,3,3,5,3,2,5,5,5,5,4,3,2,4,3,2,5,2,1,1,1,5,5,3,2,5,2,5,5,5,male
280,3,4,1,1,1,5,1,1,1,NA,1,1,2,1,5,1,1,3,2,1,2,1,3,1,1,2,5,1,2,4,1,5,female
281,3,4,2,1,2,4,2,2,3,1,3,1,3,3,2,2,3,3,4,5,4,5,5,5,1,2,5,2,5,4,3,4,female
282,2,3,3,1,4,4,3,1,5,5,2,4,4,5,1,4,3,1,4,3,5,1,5,1,1,1,2,4,2,5,1,5,male
283,1,3,2,1,1,4,1,5,2,1,1,1,3,1,1,4,1,1,4,1,1,1,2,1,1,2,4,2,3,4,1,5,female
284,2,2,2,5,3,5,5,4,3,2,1,3,4,3,2,3,2,1,4,2,2,1,5,5,3,2,2,5,3,4,5,1,male
285,2,1,1,4,1,5,4,5,1,1,1,4,3,1,1,4,1,1,5,1,1,1,5,5,3,2,1,2,1,3,5,4,male
286,2,3,2,2,1,4,2,2,5,4,5,2,5,5,1,1,4,4,2,3,1,2,4,2,1,2,4,3,3,5,1,5,female
287,4,4,1,1,1,4,4,2,2,1,3,3,5,2,2,4,5,1,5,2,1,1,3,5,2,3,5,3,4,5,2,5,female
288,4,3,3,1,1,4,2,4,4,2,4,4,4,3,2,2,3,2,3,2,2,1,3,4,2,2,4,3,3,5,2,4,female
289,2,2,1,1,3,5,4,3,3,2,NA,3,5,2,2,4,2,NA,5,2,1,2,5,5,1,2,3,4,1,2,5,3,male
290,5,2,5,1,2,4,4,4,2,2,2,4,4,3,5,3,1,1,4,1,2,1,5,4,1,2,2,3,4,5,5,4,male
291,4,3,3,1,1,1,1,1,5,5,5,3,4,5,3,1,5,5,3,3,1,5,3,4,1,1,5,5,5,5,4,2,female
292,4,3,3,2,1,4,1,5,3,1,4,3,4,1,3,3,2,3,3,1,1,1,3,5,1,1,2,3,4,4,4,3,male
293,3,4,3,1,1,5,2,2,1,1,5,4,5,1,2,1,3,1,2,3,1,4,1,2,1,5,5,4,5,5,3,5,female
294,4,1,1,5,5,5,4,2,3,1,5,2,5,1,1,1,3,1,4,1,3,3,1,2,1,1,2,4,4,5,2,5,female
295,5,5,4,1,1,3,1,5,3,1,3,4,5,2,4,2,4,1,3,4,1,1,3,4,1,1,3,2,3,3,2,5,female
296,3,3,3,1,1,2,1,3,4,1,3,4,4,2,2,2,2,4,5,2,1,1,4,5,1,2,5,3,2,4,4,5,female
297,4,2,3,4,3,5,5,2,1,1,2,4,5,1,1,5,2,1,1,1,1,1,5,5,1,1,2,5,1,5,5,4,male
298,1,4,1,3,3,5,3,1,4,4,5,1,3,5,1,2,3,4,3,1,2,3,4,1,3,1,1,3,2,5,2,3,male
299,3,5,3,1,1,3,2,1,1,1,5,2,4,2,1,1,3,2,5,5,1,5,1,5,2,2,3,2,1,5,3,5,female
300,3,4,3,1,1,4,3,3,2,1,1,2,4,3,2,3,3,1,3,2,3,1,5,2,1,2,4,2,3,5,1,4,female
301,3,4,3,3,2,5,3,2,4,2,5,2,4,3,2,1,5,5,NA,1,4,3,1,3,3,1,3,3,4,2,3,2,female
302,5,5,2,2,4,3,4,1,2,3,4,4,1,2,2,2,3,2,4,1,1,2,2,1,2,1,2,5,4,4,1,3,male
303,3,4,3,1,1,5,2,4,2,1,3,2,5,3,4,3,3,5,4,4,2,1,2,3,1,3,NA,3,3,5,2,1,female
304,4,2,2,5,2,4,4,5,2,2,5,4,4,3,3,4,1,1,4,4,1,1,5,4,4,4,5,3,3,3,1,5,female
305,4,5,4,1,1,3,1,4,3,1,5,2,4,2,4,1,1,2,1,3,1,1,2,3,3,1,4,3,1,5,1,1,female
306,5,5,5,4,2,5,2,2,2,1,4,4,5,1,2,1,3,3,5,4,5,2,3,3,1,3,3,3,3,5,4,5,female
307,3,4,1,4,1,5,5,3,3,1,1,5,4,1,3,5,2,2,3,4,4,1,5,5,2,2,5,5,4,5,5,5,female
308,2,2,2,5,3,5,5,1,5,4,5,2,5,5,1,1,2,2,5,1,5,5,5,4,2,1,1,5,1,2,1,1,female
309,3,4,4,2,2,3,3,3,5,2,1,4,4,4,4,4,2,2,4,4,1,1,5,5,2,3,4,4,2,5,4,3,female
310,2,3,1,3,3,3,3,1,3,3,4,2,4,2,1,2,3,1,3,5,1,1,2,4,5,1,5,3,4,5,4,1,female
311,1,1,1,2,2,4,4,2,5,5,1,2,2,5,1,5,1,2,2,2,1,1,3,3,2,2,4,3,2,4,4,5,male
312,5,3,3,3,1,4,3,5,4,3,5,5,5,2,2,4,3,3,3,3,3,2,5,4,2,3,4,3,5,5,5,2,female
313,2,1,1,2,2,3,3,1,1,2,1,3,1,1,1,3,1,1,1,1,1,1,5,5,1,1,1,2,1,4,2,3,male
314,3,4,4,1,1,5,4,1,3,2,3,3,4,1,2,2,3,4,4,5,2,1,4,4,1,4,5,2,NA,2,2,3,female
315,5,4,2,5,5,5,5,2,3,2,3,5,5,3,3,5,5,4,5,2,5,4,5,5,2,3,3,5,4,5,5,5,male
316,4,2,2,1,1,5,3,4,1,1,2,4,3,1,1,2,2,3,2,2,1,1,5,3,1,4,5,4,3,5,1,1,male
317,3,2,2,2,2,4,2,1,5,4,1,2,1,2,3,2,3,1,4,4,1,1,4,4,4,4,5,3,2,5,4,5,female
318,1,1,1,3,3,3,4,2,2,2,3,3,3,2,1,4,1,1,3,3,1,1,5,5,1,2,2,5,1,5,3,5,male
319,3,5,1,3,1,5,4,3,5,5,5,2,4,5,2,1,1,5,3,5,1,2,5,NA,5,3,5,2,5,5,3,5,female
320,3,5,4,1,1,5,2,4,2,1,5,4,5,2,2,2,3,5,5,3,1,3,4,1,1,4,3,3,5,5,3,3,female
321,5,2,3,3,3,5,5,NA,2,1,1,2,4,2,2,4,3,3,5,3,4,3,4,3,3,4,4,4,3,5,3,3,male
322,4,5,2,1,1,5,NA,1,5,2,4,2,4,5,3,1,2,3,4,5,4,2,3,4,2,3,4,3,3,4,4,5,female
323,5,2,5,1,1,2,2,2,1,1,3,5,3,1,5,3,3,2,4,2,5,1,4,5,2,3,4,2,2,4,3,5,female
324,2,4,3,3,3,4,4,2,5,5,1,1,3,5,1,1,1,4,3,1,3,1,5,4,4,3,4,5,2,4,2,5,male
325,1,2,2,2,2,3,3,4,4,2,2,3,3,4,2,1,2,4,4,2,2,1,3,1,1,4,4,2,3,5,4,3,female
326,5,3,3,1,3,5,3,3,5,5,3,5,4,5,2,5,3,3,4,3,3,2,5,5,5,2,3,5,2,5,5,5,male
327,4,4,4,4,1,3,1,5,1,1,1,3,3,2,2,1,1,1,4,1,1,1,4,3,3,3,2,1,2,5,2,4,female
328,3,3,1,2,1,5,5,5,1,1,5,4,4,2,2,4,3,1,4,1,1,3,4,2,2,5,4,4,3,2,2,5,female
329,1,5,4,5,1,5,5,5,1,NA,1,5,5,1,3,5,1,1,3,1,1,1,3,5,1,1,3,1,3,5,3,1,male
330,3,2,2,2,1,4,4,4,3,2,1,2,3,2,1,3,1,2,4,3,1,1,5,3,2,5,5,3,2,5,2,4,female
331,4,3,2,1,2,4,3,1,2,1,1,3,5,NA,1,1,2,2,3,1,1,1,NA,4,1,4,3,3,5,4,1,5,female
332,2,3,2,3,5,5,2,1,5,2,4,3,3,5,2,5,3,3,3,5,3,4,1,5,4,3,2,4,3,5,5,5,male
333,3,3,2,4,4,5,2,1,5,5,5,3,3,5,2,2,2,5,5,4,1,4,5,3,3,1,3,3,4,3,1,5,female
