ID,Music,Slow.songs.or.fast.songs,Dance,Folk,Country,Classical.music,Musical,Pop,Rock,Metal.or.Hardrock,Punk,Hiphop..Rap,Reggae..Ska,Swing..Jazz,Rock.n.roll,Alternative,Latino,Techno..Trance,Opera,Education
1,5,3,2,1,2,2,1,5,5,1,1,1,1,1,3,1,1,1,1,college/bachelor degree
2,4,4,2,1,1,1,2,3,5,4,4,1,3,1,4,4,2,1,1,college/bachelor degree
3,5,5,2,2,3,4,5,3,5,3,4,1,4,3,5,5,5,1,3,secondary school
4,5,3,2,1,1,1,1,2,2,1,4,2,2,1,2,5,1,2,1,college/bachelor degree
5,5,3,4,3,2,4,3,5,3,1,2,5,3,2,1,2,4,2,2,secondary school
6,5,3,2,3,2,3,3,2,5,5,3,4,3,4,4,5,3,1,3,secondary school
7,5,5,5,3,1,2,2,5,3,1,1,3,1,1,2,3,3,5,2,secondary school
8,5,3,3,2,1,2,2,4,5,1,2,3,2,2,3,1,2,3,2,college/bachelor degree
9,5,3,3,1,1,2,4,3,5,5,1,1,2,2,2,NA,1,1,1,secondary school
10,5,3,2,5,2,2,5,3,5,2,3,2,4,4,4,4,5,1,2,secondary school
11,5,3,3,2,1,2,3,4,3,2,1,3,2,2,3,3,3,4,2,secondary school
12,5,3,1,1,1,4,1,2,5,1,1,1,1,2,2,5,2,1,2,primary school
13,5,3,1,2,1,4,3,3,5,4,2,3,1,1,4,3,2,1,2,college/bachelor degree
14,5,3,5,3,2,1,5,5,2,1,1,2,1,3,2,1,3,1,1,secondary school
15,5,3,2,1,1,2,3,4,5,2,5,3,4,4,4,4,1,1,1,college/bachelor degree
16,1,3,2,2,3,4,3,3,5,5,5,2,4,2,3,3,2,1,2,secondary school
17,5,3,3,1,1,1,2,4,4,1,3,2,3,2,3,1,1,4,1,college/bachelor degree
18,5,3,3,3,3,2,2,4,4,2,3,3,4,3,3,1,2,1,3,secondary school
19,5,3,5,4,3,4,5,5,4,4,3,4,4,4,4,4,4,4,3,secondary school
20,5,4,3,3,2,4,2,2,4,5,2,1,4,5,4,3,4,3,2,secondary school
21,5,3,3,2,3,4,3,2,5,5,4,4,3,5,4,5,3,3,4,secondary school
22,5,5,1,1,3,2,2,2,5,5,4,1,2,1,4,3,2,1,2,secondary school
23,5,3,3,2,3,3,3,4,NA,1,2,2,1,1,3,2,3,3,2,college/bachelor degree
24,5,3,4,2,2,2,4,4,5,2,3,3,3,3,3,1,4,1,1,secondary school
25,5,2,3,1,1,4,3,3,5,5,5,1,1,1,2,3,2,3,4,secondary school
26,5,3,4,2,1,2,3,5,1,1,1,3,1,2,1,1,4,2,1,secondary school
27,5,5,5,5,4,5,3,4,4,3,2,2,1,3,5,3,5,2,2,college/bachelor degree
28,4,5,3,4,1,3,2,2,4,2,4,2,4,2,3,4,3,4,2,secondary school
29,5,3,5,1,1,1,1,3,4,1,3,5,2,1,4,3,2,3,1,secondary school
30,5,4,3,4,2,3,3,3,4,1,3,3,4,3,4,3,4,3,2,secondary school
31,4,3,4,3,3,3,3,4,4,2,2,4,3,4,3,3,3,3,3,secondary school
32,4,3,4,1,3,2,3,5,3,1,1,3,3,2,1,1,5,1,2,secondary school
33,5,5,3,1,3,2,3,3,4,3,4,4,2,2,4,4,2,3,1,secondary school
34,5,4,2,2,3,4,5,4,3,1,1,1,3,4,4,3,2,1,5,masters degree
35,5,4,3,2,1,3,4,4,5,3,4,2,3,3,4,4,2,1,1,college/bachelor degree
36,5,3,3,3,1,4,5,5,3,1,1,4,3,1,3,3,5,1,1,secondary school
37,5,3,1,3,2,3,4,4,4,1,1,1,1,1,1,1,1,1,4,secondary school
38,5,5,1,1,1,5,1,2,3,5,2,1,2,2,2,1,1,1,1,secondary school
39,5,5,5,3,1,5,2,5,4,1,2,4,5,2,2,1,3,4,4,secondary school
40,5,3,3,3,2,2,3,5,5,4,4,1,2,1,5,2,1,2,2,secondary school
41,4,3,4,1,1,1,1,5,1,1,1,3,2,1,1,1,2,3,1,secondary school
42,5,4,5,5,5,5,1,1,4,5,1,5,5,5,5,5,5,5,1,college/bachelor degree
43,5,5,2,2,2,3,4,5,5,4,4,3,3,3,3,4,3,3,1,secondary school
44,5,4,3,1,1,2,2,5,4,1,2,3,2,2,2,4,3,3,1,college/bachelor degree
45,4,4,4,2,1,3,3,4,4,1,1,3,1,3,3,4,5,4,3,masters degree
46,5,4,5,2,2,4,3,5,4,1,2,3,3,3,5,1,4,3,4,masters degree
47,5,3,4,3,4,1,5,5,5,3,2,5,2,3,5,4,5,2,2,college/bachelor degree
48,5,3,3,1,1,2,3,4,4,2,2,1,3,3,NA,4,3,2,3,secondary school
49,5,4,3,1,1,1,4,3,2,1,2,5,5,2,2,2,4,2,1,secondary school
50,5,4,2,1,2,2,2,3,5,3,5,3,2,2,4,2,1,2,1,primary school
51,4,3,2,4,2,5,5,5,5,2,4,4,4,3,4,4,5,1,2,college/bachelor degree
52,5,3,3,3,1,4,3,5,4,3,2,2,4,4,4,3,5,3,2,secondary school
53,5,3,5,5,5,5,5,5,5,4,2,5,5,5,5,2,5,2,5,secondary school
54,5,3,4,4,3,4,5,4,3,2,2,3,3,3,3,3,5,2,5,secondary school
55,5,3,5,5,3,5,5,5,5,4,3,3,3,4,4,3,5,4,5,college/bachelor degree
56,5,3,4,2,2,4,3,4,3,3,2,4,3,3,4,4,4,5,3,college/bachelor degree
57,5,3,1,2,3,4,3,4,5,1,4,2,3,4,5,5,1,1,4,secondary school
58,5,3,3,3,2,3,2,2,5,2,2,2,2,4,5,5,1,1,2,secondary school
59,5,5,5,3,2,3,2,5,1,1,1,2,2,1,2,2,3,3,1,secondary school
60,5,4,2,1,2,3,1,3,4,3,5,3,3,4,5,5,1,4,3,college/bachelor degree
61,5,2,2,2,2,4,4,4,4,1,3,2,3,3,4,4,2,1,3,college/bachelor degree
62,5,3,5,1,2,4,3,4,4,1,2,3,2,3,3,3,4,4,3,secondary school
63,5,3,5,4,5,4,4,5,4,5,4,5,4,5,5,5,4,5,5,secondary school
64,5,4,NA,1,3,2,1,2,3,1,NA,5,4,3,3,1,3,5,1,college/bachelor degree
65,5,3,3,1,1,1,4,4,5,1,3,2,1,2,2,1,3,2,2,primary school
66,4,3,3,1,2,2,1,3,3,3,2,4,2,2,2,1,2,4,2,primary school
67,4,3,4,2,2,2,4,5,3,4,3,3,3,3,2,2,4,5,1,secondary school
68,3,4,4,3,2,2,4,5,1,1,1,4,3,4,4,1,5,1,1,college/bachelor degree
69,5,5,3,2,1,2,4,3,5,5,5,1,5,4,4,3,2,4,2,college/bachelor degree
70,5,4,1,1,1,1,4,5,4,1,1,1,1,1,2,1,4,1,2,secondary school
71,5,3,5,2,2,2,3,5,3,1,1,5,2,3,1,1,2,3,1,secondary school
72,4,3,2,3,1,4,1,4,1,1,1,4,4,1,2,3,1,3,1,secondary school
73,5,3,2,2,2,2,5,5,5,2,4,4,2,2,3,3,5,1,1,secondary school
74,5,3,3,2,2,2,1,5,2,1,2,5,2,2,2,2,4,3,1,secondary school
75,5,3,2,1,4,5,3,2,1,1,1,5,4,1,1,1,1,2,4,masters degree
76,5,3,3,4,4,3,1,1,5,4,4,3,5,4,5,4,4,1,2,secondary school
77,4,4,4,1,1,2,2,2,2,1,NA,4,1,1,2,1,1,1,1,secondary school
78,5,3,5,1,2,2,2,5,4,2,1,4,2,2,2,2,5,5,1,secondary school
79,4,4,4,2,4,1,5,5,3,1,1,4,5,5,5,3,5,4,2,college/bachelor degree
80,5,3,4,4,4,3,4,5,5,2,2,5,3,3,3,3,4,4,4,secondary school
81,5,3,4,2,2,2,3,4,5,2,3,4,4,3,4,2,5,3,2,secondary school
82,5,4,4,1,2,3,3,5,4,2,3,4,4,3,4,3,5,3,3,secondary school
83,5,5,1,3,1,3,2,1,5,5,4,1,1,2,2,5,1,1,3,secondary school
84,5,3,5,1,2,4,4,5,5,3,1,3,2,4,3,1,5,5,3,secondary school
85,5,3,1,1,4,5,5,1,5,5,5,4,4,5,5,4,3,1,5,secondary school
86,5,2,3,3,5,5,3,3,4,4,1,1,1,2,3,3,2,4,3,college/bachelor degree
87,4,3,4,3,3,3,2,4,5,3,3,4,3,3,3,3,2,3,3,masters degree
88,5,4,4,1,2,2,4,4,5,2,4,3,5,3,4,4,5,2,1,college/bachelor degree
89,5,5,5,1,1,5,2,5,5,1,1,1,1,5,5,4,5,5,1,secondary school
90,5,3,3,2,1,4,3,3,5,3,3,1,2,4,4,4,2,1,3,masters degree
91,4,2,3,2,1,3,4,3,4,1,3,1,3,1,2,3,1,1,1,secondary school
92,5,5,1,5,1,NA,5,3,5,5,5,1,5,1,3,1,1,1,1,secondary school
93,5,2,1,3,4,4,4,2,3,1,2,1,3,5,4,3,3,1,4,college/bachelor degree
94,5,4,1,5,5,4,4,4,3,3,3,1,1,5,4,1,1,1,4,masters degree
95,5,5,5,1,1,1,2,4,3,1,3,5,2,1,3,3,1,4,1,secondary school
96,5,3,3,2,2,4,3,3,3,1,2,5,5,4,4,2,3,2,2,college/bachelor degree
97,5,3,1,1,1,1,1,2,4,5,4,3,1,1,1,4,1,4,1,college/bachelor degree
98,5,3,2,1,1,1,1,2,1,1,1,5,2,2,1,1,1,2,1,primary school
99,3,5,5,1,1,1,1,3,5,2,1,1,3,2,2,5,5,3,1,secondary school
100,5,3,4,1,1,2,2,4,2,1,3,2,4,1,2,1,4,1,1,secondary school
101,5,4,4,3,2,4,5,4,5,3,2,4,4,3,3,2,3,2,2,secondary school
102,5,3,1,3,2,3,1,2,4,5,4,1,4,3,3,3,1,1,2,secondary school
103,5,3,1,2,3,5,4,1,5,2,5,1,4,5,5,5,2,1,4,secondary school
104,5,5,5,2,2,NA,4,5,1,1,1,5,5,4,3,2,5,4,4,secondary school
105,4,4,3,3,2,4,2,2,4,4,3,3,3,4,4,4,3,3,2,secondary school
106,5,5,1,3,1,3,2,2,4,5,1,1,2,3,1,1,1,1,2,college/bachelor degree
107,5,3,4,4,5,5,3,4,5,1,2,4,4,4,5,3,5,3,4,secondary school
108,5,3,1,1,1,2,2,2,4,4,1,1,3,4,2,4,2,1,NA,secondary school
109,4,3,2,2,1,4,1,2,4,4,3,2,1,1,2,3,2,2,3,primary school
110,5,2,2,2,4,4,2,3,5,5,3,2,2,2,3,1,3,1,4,secondary school
111,5,4,4,5,2,3,1,4,4,1,1,1,4,5,4,4,4,4,1,college/bachelor degree
112,5,3,4,3,2,5,3,3,4,2,2,3,3,4,4,5,2,4,4,college/bachelor degree
113,5,3,4,2,2,4,3,3,3,2,2,1,3,4,2,3,5,4,1,secondary school
114,3,4,4,2,3,1,2,4,4,2,1,NA,1,1,2,2,2,5,1,college/bachelor degree
115,5,3,2,1,1,3,4,4,4,1,3,2,2,2,3,3,1,1,4,secondary school
116,5,4,5,2,2,5,4,5,5,2,2,3,3,3,2,3,5,3,2,secondary school
117,5,3,2,2,2,2,1,3,5,1,2,1,1,2,4,5,2,1,1,college/bachelor degree
118,5,3,2,2,1,1,3,5,3,2,1,1,1,1,2,1,4,1,1,secondary school
119,5,3,1,2,2,4,1,3,4,2,4,2,4,4,4,4,2,1,1,college/bachelor degree
120,4,2,4,2,1,3,2,4,2,2,1,2,2,2,2,1,2,3,2,secondary school
121,5,5,4,1,2,4,4,2,5,5,2,1,3,5,5,3,4,3,2,college/bachelor degree
122,4,3,2,3,4,2,1,4,4,2,2,4,2,2,4,1,1,3,1,secondary school
123,5,3,3,2,2,5,3,1,5,2,4,1,3,4,4,5,3,1,3,masters degree
124,5,3,3,3,3,3,4,3,5,3,1,3,1,5,5,3,3,1,3,secondary school
125,4,4,1,4,NA,5,5,3,5,3,3,1,2,4,5,2,3,1,3,secondary school
126,5,3,3,3,2,3,2,2,4,3,3,2,4,5,3,4,3,2,2,secondary school
127,3,5,4,1,1,3,1,4,4,1,4,4,1,1,1,2,1,1,1,secondary school
128,4,3,3,3,4,4,3,4,4,3,3,3,4,3,4,4,2,3,3,primary school
129,5,5,5,1,5,5,5,5,5,5,1,2,3,1,5,5,5,5,2,primary school
130,5,4,5,3,1,2,2,4,5,2,2,2,3,4,3,4,3,1,1,secondary school
131,4,2,2,1,1,4,2,2,5,3,3,1,2,2,3,1,3,3,2,secondary school
132,5,4,3,1,1,2,2,4,2,1,2,5,2,1,1,1,1,3,1,primary school
133,5,4,3,1,1,1,1,4,4,1,5,2,4,3,2,2,2,1,1,primary school
134,5,3,2,4,1,4,2,1,3,1,1,1,2,5,1,1,3,1,3,college/bachelor degree
135,5,3,4,3,3,3,3,3,3,1,1,4,4,4,4,4,4,4,2,secondary school
136,5,3,2,1,3,5,1,3,5,4,4,3,5,4,4,5,1,1,3,secondary school
137,5,3,4,3,2,3,2,4,3,1,1,5,1,1,1,1,1,1,3,secondary school
138,5,3,4,3,3,5,5,5,4,2,2,4,3,5,4,3,4,2,2,primary school
139,5,3,2,3,3,4,5,2,1,1,1,3,3,4,4,2,3,1,2,secondary school
140,5,4,5,3,2,3,3,5,4,1,2,5,3,4,4,1,2,3,2,college/bachelor degree
141,5,4,3,2,1,2,3,4,4,2,2,2,2,5,3,2,4,3,2,college/bachelor degree
142,3,4,1,3,1,3,1,3,5,5,4,4,3,1,1,5,5,2,1,primary school
143,5,4,4,1,3,2,2,4,4,1,1,3,2,1,1,2,3,2,1,primary school
144,5,4,4,2,1,1,2,4,4,2,3,5,4,1,1,3,3,3,1,secondary school
145,5,2,3,1,2,3,2,NA,5,1,3,2,2,2,4,3,4,4,2,secondary school
146,1,4,4,1,1,2,2,2,4,1,1,1,2,1,1,3,2,3,2,secondary school
147,5,3,5,2,1,4,1,5,4,3,4,5,1,1,1,1,2,NA,1,secondary school
148,5,4,3,2,3,2,2,3,5,4,3,5,2,2,2,4,2,1,1,secondary school
149,4,3,4,4,4,3,3,5,3,2,3,4,3,2,4,3,3,3,2,secondary school
150,2,3,1,3,1,3,4,1,2,2,2,3,2,1,1,1,1,1,2,college/bachelor degree
151,5,2,2,2,3,4,4,3,5,5,3,1,2,4,4,3,1,1,4,secondary school
152,5,4,3,1,1,3,2,2,4,4,4,2,5,4,4,4,2,2,1,secondary school
153,5,3,5,2,2,3,3,4,4,2,1,4,3,3,4,3,2,2,2,college/bachelor degree
154,2,5,5,2,2,3,2,4,2,1,2,4,1,4,2,1,3,3,3,college/bachelor degree
155,5,3,1,2,4,5,1,1,5,4,4,2,2,3,3,3,2,1,3,college/bachelor degree
156,5,4,4,3,3,5,2,3,3,2,3,3,2,4,3,4,2,2,3,secondary school
157,5,4,2,4,3,4,2,3,5,2,5,3,5,2,3,3,2,1,2,doctorate degree
158,5,5,4,4,4,2,2,4,4,4,4,2,2,2,1,2,1,1,2,masters degree
159,5,3,4,2,1,3,2,5,4,1,3,4,5,4,3,3,2,5,1,currently a primary school pupil
160,5,3,4,4,3,5,4,4,5,3,3,3,4,3,3,4,3,3,3,secondary school
161,5,3,3,2,1,2,1,1,5,4,5,3,5,4,4,5,1,3,1,secondary school
162,5,3,2,2,2,2,2,4,5,3,3,4,3,2,3,2,2,3,2,secondary school
163,4,2,3,5,4,5,2,4,3,1,1,5,4,3,2,1,5,1,3,college/bachelor degree
164,5,5,3,1,1,2,1,4,3,2,1,1,1,1,1,3,1,5,1,secondary school
165,5,4,4,2,1,3,2,4,NA,1,3,2,2,4,4,5,2,3,2,secondary school
166,5,4,5,2,4,3,1,4,1,1,1,5,3,3,2,1,5,2,1,college/bachelor degree
167,5,5,1,2,1,3,1,1,3,5,2,1,1,1,1,2,2,1,5,secondary school
168,3,3,3,2,2,NA,2,3,4,3,4,4,4,3,3,3,3,3,2,primary school
169,5,4,4,1,2,4,3,4,4,1,3,3,3,3,4,2,1,1,1,secondary school
170,5,3,2,1,2,4,4,3,5,4,3,1,1,3,3,4,1,1,1,secondary school
171,4,3,2,3,2,2,1,3,4,2,2,2,3,5,4,5,4,1,1,secondary school
172,5,4,3,1,2,4,3,4,4,1,1,4,3,3,3,2,1,1,1,secondary school
173,5,3,2,3,3,4,4,2,5,5,5,2,4,4,4,4,2,1,3,secondary school
174,5,3,2,1,2,4,4,3,2,1,1,2,1,2,3,2,1,5,4,secondary school
175,5,2,1,5,3,3,3,1,1,1,1,1,1,1,1,1,3,1,5,secondary school
176,5,3,1,1,1,5,3,3,5,5,2,3,4,4,4,2,4,2,1,primary school
177,5,3,3,NA,1,1,1,3,5,5,3,2,4,3,5,4,1,2,1,college/bachelor degree
178,5,3,1,4,2,4,3,1,5,5,3,1,3,3,3,5,2,1,3,masters degree
179,4,3,1,3,3,5,2,2,4,4,3,1,2,2,4,3,2,1,4,masters degree
180,4,3,1,2,2,5,2,1,1,2,1,1,1,4,1,1,1,4,5,secondary school
181,4,4,2,1,1,3,3,2,5,4,5,2,2,1,4,4,1,1,1,secondary school
182,5,3,4,3,3,4,3,3,4,3,3,4,4,5,3,3,5,3,3,secondary school
183,5,3,4,3,2,4,4,4,5,4,3,2,4,3,2,3,4,1,5,secondary school
184,5,3,3,2,1,2,5,4,3,1,1,5,4,4,3,4,3,4,3,college/bachelor degree
185,5,4,2,2,2,3,4,2,5,1,2,1,1,4,5,5,1,1,2,college/bachelor degree
186,3,3,3,1,1,2,5,3,2,1,1,4,3,3,4,1,5,3,1,secondary school
187,4,2,2,4,2,3,3,4,2,1,1,1,1,3,2,2,3,2,4,masters degree
188,5,3,1,2,2,2,1,4,3,2,2,1,1,2,1,5,1,5,1,college/bachelor degree
189,3,3,3,3,2,5,4,3,3,1,1,3,2,2,2,2,2,1,4,college/bachelor degree
190,5,3,1,3,2,5,3,1,4,5,4,1,1,1,3,2,1,1,4,primary school
191,4,4,2,2,2,4,2,2,4,5,3,2,3,2,3,3,2,2,3,primary school
192,5,3,2,5,2,4,5,5,2,1,1,1,3,4,3,4,3,1,4,masters degree
193,5,1,4,1,2,3,3,5,4,1,3,5,2,1,3,2,3,4,1,secondary school
194,5,3,1,4,3,5,3,1,5,5,4,1,3,3,5,5,1,1,3,masters degree
195,5,4,1,2,1,3,2,2,4,2,4,2,3,1,5,5,1,1,1,secondary school
196,5,3,2,2,2,3,2,2,3,1,1,5,3,3,3,3,2,1,2,secondary school
197,5,3,2,2,2,2,3,4,4,3,3,4,4,3,3,3,3,3,3,secondary school
198,5,3,3,2,3,1,4,2,2,1,1,3,2,2,1,1,3,1,1,college/bachelor degree
199,5,3,3,4,2,2,2,3,5,3,5,5,4,2,5,2,2,2,2,secondary school
200,5,4,4,1,1,1,1,2,3,1,1,4,2,1,1,1,2,4,1,secondary school
201,4,3,3,1,2,4,3,4,4,4,3,5,4,3,4,2,2,2,1,secondary school
202,5,3,2,4,3,3,3,5,5,NA,3,5,5,1,5,5,3,2,1,secondary school
203,5,3,5,1,1,1,1,3,2,1,1,5,3,1,1,1,1,4,1,primary school
204,5,3,4,2,2,3,1,4,5,3,3,3,3,2,2,2,4,3,3,college/bachelor degree
205,5,3,3,3,2,3,3,2,5,4,4,2,5,4,5,4,3,1,2,college/bachelor degree
206,5,1,2,4,3,5,5,4,4,3,1,1,1,4,5,3,4,1,5,secondary school
207,5,3,5,2,2,5,5,3,4,4,3,1,2,4,4,3,1,1,5,college/bachelor degree
208,5,3,2,3,3,4,5,3,3,1,4,2,2,3,4,2,4,1,4,college/bachelor degree
209,5,3,3,2,1,3,2,4,4,1,5,4,5,5,5,3,3,1,2,secondary school
210,5,2,4,3,3,4,3,2,5,4,3,5,4,5,4,2,4,2,2,secondary school
211,5,4,5,5,5,5,1,4,5,4,3,4,4,4,5,3,4,5,1,secondary school
212,5,4,5,1,2,2,5,5,5,1,1,5,4,4,5,2,5,4,1,secondary school
213,5,3,1,3,3,5,1,2,4,2,3,3,2,4,5,5,1,2,5,secondary school
214,5,4,4,2,3,3,4,5,5,2,5,4,2,2,2,4,3,5,2,secondary school
215,4,3,2,2,2,3,3,3,5,4,3,2,2,5,5,4,3,1,2,primary school
216,1,3,2,2,1,1,1,3,1,1,1,5,1,1,1,1,5,1,1,secondary school
217,5,4,1,1,1,1,1,1,4,5,3,2,1,1,3,1,1,2,1,secondary school
218,5,3,4,1,3,2,5,4,3,1,2,3,1,2,4,4,3,2,3,primary school
219,5,4,2,1,3,2,3,4,3,1,1,4,3,1,2,2,1,3,2,primary school
220,5,5,5,1,1,1,2,3,1,1,1,5,2,1,1,1,2,5,1,secondary school
221,5,3,4,3,3,4,2,1,3,1,2,5,4,4,2,5,3,1,3,secondary school
222,5,3,4,5,1,4,3,3,5,5,4,5,5,5,4,4,3,4,3,masters degree
223,5,3,3,2,4,4,3,5,5,3,3,2,1,4,3,3,3,1,1,secondary school
224,5,3,3,3,2,3,1,4,2,2,1,4,3,4,2,2,5,2,2,secondary school
225,5,3,2,2,3,5,4,4,5,3,4,3,3,2,3,5,2,1,2,secondary school
226,5,4,2,3,2,4,4,2,5,2,4,3,4,4,5,5,3,2,2,secondary school
227,5,5,5,5,4,NA,3,4,5,3,3,5,3,2,NA,1,NA,3,1,secondary school
228,5,2,2,4,3,5,3,2,4,3,3,2,3,5,3,4,4,1,3,secondary school
229,4,3,3,5,3,4,2,3,3,1,2,1,2,5,4,4,3,2,3,secondary school
230,4,3,4,2,4,1,1,4,3,1,4,2,5,3,3,2,2,3,3,secondary school
231,5,2,2,5,4,5,5,5,3,1,3,4,3,3,3,3,5,2,3,secondary school
232,5,1,3,2,3,2,2,4,5,3,3,1,2,3,5,1,5,1,1,secondary school
233,5,3,1,2,4,4,1,2,3,2,2,3,4,5,3,1,4,3,1,secondary school
234,4,4,4,2,2,4,3,4,4,4,4,4,4,2,4,3,4,4,1,primary school
235,4,4,4,4,3,2,1,4,5,4,4,2,4,1,3,4,5,1,1,college/bachelor degree
236,5,3,1,1,1,3,3,3,5,4,2,1,1,3,4,2,4,1,2,secondary school
237,1,3,3,3,2,3,5,4,4,3,3,2,4,3,4,2,4,1,1,secondary school
238,5,4,4,2,1,3,3,4,3,1,1,5,4,3,2,2,5,3,2,secondary school
239,5,2,2,1,2,2,3,4,2,1,1,5,3,2,3,2,4,1,1,primary school
240,5,3,4,2,1,5,2,2,4,1,3,3,3,4,4,4,2,2,4,secondary school
241,3,4,2,1,1,1,1,2,3,2,1,2,2,2,2,2,1,2,1,college/bachelor degree
242,5,4,2,1,1,3,5,3,3,1,2,5,3,3,3,3,2,1,4,secondary school
243,3,3,3,2,1,2,5,5,4,1,1,1,1,2,2,1,4,1,3,secondary school
244,NA,3,2,1,2,4,5,5,5,1,4,1,2,4,5,4,3,1,2,secondary school
245,5,3,5,2,4,3,5,5,5,2,3,2,3,3,4,3,5,2,1,secondary school
246,5,3,2,3,3,2,2,3,4,3,4,4,5,4,5,5,3,1,1,primary school
247,5,3,3,2,3,4,1,4,5,2,2,3,4,4,4,1,5,1,4,masters degree
248,5,3,3,2,1,4,5,3,5,2,3,3,4,5,3,5,4,2,1,college/bachelor degree
249,5,3,4,1,1,4,3,4,5,4,3,4,2,2,2,2,2,3,3,secondary school
250,5,3,3,4,4,4,4,5,5,4,4,2,2,4,4,4,5,2,4,secondary school
251,5,3,3,2,1,2,2,4,3,2,2,4,4,2,2,2,4,2,1,secondary school
