ID,Music,Slow.songs.or.fast.songs,Dance,Folk,Country,Classical.music,Musical,Pop,Rock,Metal.or.Hardrock,Punk,Hiphop..Rap,Reggae..Ska,Swing..Jazz,Rock.n.roll,Alternative,Latino,Techno..Trance,Opera,Education
252,5,5,5,2,2,3,5,5,5,2,4,4,4,3,3,2,4,5,2,secondary school
253,5,2,2,2,3,3,3,4,5,1,2,2,1,3,2,5,4,2,4,secondary school
254,5,3,3,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,primary school
255,5,3,5,3,2,2,5,5,3,1,1,4,2,1,5,2,5,3,2,secondary school
256,5,3,2,5,4,5,5,3,5,4,3,3,3,4,4,4,5,1,4,secondary school
257,5,3,3,4,2,1,2,5,2,1,1,3,2,1,2,1,5,1,1,secondary school
258,5,3,5,3,2,3,3,4,4,3,1,4,2,3,3,3,2,5,2,secondary school
259,5,4,1,2,1,5,1,1,5,5,2,1,1,4,3,5,2,1,1,secondary school
260,2,3,3,3,3,2,2,3,4,2,2,2,1,3,5,2,5,1,5,secondary school
261,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,secondary school
262,5,3,4,2,3,2,2,5,2,1,2,2,1,1,1,1,3,1,1,secondary school
263,5,4,3,4,2,5,4,2,5,2,1,3,3,5,3,5,2,3,4,secondary school
264,5,5,5,2,2,2,4,5,4,2,2,4,3,2,4,3,5,3,2,secondary school
265,3,3,3,3,1,3,3,5,4,3,3,5,4,3,3,3,3,3,3,college/bachelor degree
266,5,3,3,2,1,2,3,5,2,1,1,4,3,3,2,1,1,1,1,secondary school
267,5,3,3,3,2,3,3,4,4,1,1,2,2,4,3,1,4,1,2,secondary school
268,5,3,4,3,4,4,3,2,4,4,4,3,2,2,3,2,3,2,3,masters degree
269,5,3,3,2,1,2,2,5,2,1,1,2,3,3,3,2,5,1,2,college/bachelor degree
270,5,3,3,1,2,4,4,3,5,3,4,1,1,1,3,2,4,2,4,secondary school
271,5,3,3,2,1,1,3,4,5,4,5,5,5,5,5,5,3,2,1,college/bachelor degree
272,5,3,4,3,1,1,1,4,5,5,5,5,5,4,5,4,2,1,1,secondary school
273,5,3,2,4,3,5,3,2,5,5,5,2,5,4,3,5,2,1,5,secondary school
274,5,3,4,2,2,4,4,4,4,2,4,4,4,5,4,4,4,4,3,college/bachelor degree
275,5,4,5,3,3,2,2,4,3,1,1,4,3,2,4,1,3,2,1,secondary school
276,5,3,3,3,4,4,5,3,4,4,3,2,2,4,3,3,5,4,3,college/bachelor degree
277,5,4,5,3,5,2,2,5,5,4,3,1,1,1,4,3,3,1,1,college/bachelor degree
278,5,3,2,1,3,3,1,4,5,3,1,2,2,3,5,1,2,2,2,secondary school
279,5,4,3,5,2,4,3,3,4,2,3,5,5,2,3,5,4,3,3,secondary school
280,5,3,4,2,2,2,1,4,3,1,3,3,3,1,1,1,2,2,1,college/bachelor degree
281,5,3,4,2,1,3,4,2,5,5,3,2,3,2,2,4,5,5,2,secondary school
282,5,3,4,2,3,4,1,2,4,4,5,4,4,5,5,2,5,3,2,secondary school
283,5,3,1,1,2,1,2,3,2,1,1,1,2,1,2,2,3,1,1,secondary school
284,5,3,4,2,3,3,2,4,4,2,4,4,NA,5,3,2,3,3,2,secondary school
285,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,secondary school
286,5,4,3,1,1,3,3,5,5,1,1,3,1,2,1,1,1,1,4,secondary school
287,5,3,3,2,2,4,3,4,4,1,3,5,5,3,3,4,4,1,1,masters degree
288,5,3,3,1,1,3,2,4,4,2,4,4,1,3,3,4,2,3,3,secondary school
289,5,3,5,3,NA,3,1,2,3,2,1,4,4,2,3,1,4,5,1,secondary school
290,5,3,4,2,2,3,4,4,4,2,2,4,1,2,4,1,NA,2,3,college/bachelor degree
291,4,3,4,1,1,2,4,4,4,1,1,4,3,4,4,3,4,1,1,secondary school
292,4,3,3,3,3,3,3,3,5,4,4,3,4,3,4,3,3,2,3,secondary school
293,5,4,5,2,3,2,5,5,4,1,3,3,3,3,3,3,5,2,1,secondary school
294,5,1,2,2,2,4,4,1,5,4,5,1,4,3,3,5,2,1,2,primary school
295,5,3,2,2,1,4,2,3,4,1,4,NA,4,4,3,4,4,1,2,secondary school
296,5,3,3,2,5,3,3,4,5,3,2,2,4,3,5,5,3,1,4,secondary school
297,5,4,5,1,1,1,1,5,3,2,2,2,4,1,3,3,1,5,1,college/bachelor degree
298,5,3,2,1,2,3,2,2,3,2,3,1,3,3,2,4,2,4,2,secondary school
299,5,3,5,2,3,2,2,4,3,1,1,5,4,4,5,1,5,2,1,secondary school
300,5,3,4,1,1,3,4,2,4,1,3,5,5,3,2,2,3,1,2,college/bachelor degree
301,5,2,1,5,2,5,2,2,4,5,3,1,1,3,3,5,1,1,5,secondary school
302,4,2,1,2,1,5,2,1,5,5,1,1,1,2,1,2,1,1,4,college/bachelor degree
303,5,4,5,4,1,2,5,5,5,2,2,5,3,1,4,1,5,1,2,secondary school
304,4,5,2,2,4,2,5,4,5,4,2,4,2,2,3,1,5,1,1,masters degree
305,5,3,2,2,1,4,4,4,4,2,1,2,3,2,2,1,2,1,3,secondary school
306,5,3,3,2,1,2,2,2,5,2,3,2,2,3,4,5,1,1,2,college/bachelor degree
307,5,5,5,3,3,3,3,3,4,2,4,4,5,5,5,5,5,4,1,primary school
308,5,3,1,4,3,2,5,2,5,4,3,1,1,5,5,3,3,1,1,secondary school
309,5,5,5,2,3,3,2,4,3,1,NA,3,1,1,1,2,3,4,1,secondary school
310,5,3,4,2,1,3,3,3,4,1,1,4,1,1,4,2,2,2,1,secondary school
311,5,5,4,1,1,3,2,4,4,2,1,1,2,1,1,1,3,5,3,college/bachelor degree
312,5,4,5,5,2,5,5,5,5,2,2,5,5,5,3,3,5,2,5,college/bachelor degree
313,2,4,2,1,1,2,2,3,4,3,2,3,3,3,3,2,1,2,1,primary school
314,5,4,3,2,2,4,3,4,2,1,1,4,1,3,4,2,4,2,2,secondary school
315,5,4,5,4,5,4,5,5,5,5,5,2,5,5,5,5,5,5,4,secondary school
316,5,3,1,1,1,3,3,5,2,1,1,2,1,1,1,2,2,1,2,secondary school
317,5,3,4,1,1,1,3,3,3,1,2,3,2,1,1,2,2,4,2,secondary school
318,5,3,5,2,2,2,1,3,5,1,2,2,1,2,3,3,4,4,1,secondary school
319,5,3,2,3,4,3,3,3,1,1,3,3,2,4,4,3,3,2,1,currently a primary school pupil
320,5,3,4,3,2,4,5,5,4,1,2,3,3,4,3,4,4,3,2,secondary school
321,5,4,3,2,2,2,2,3,5,4,3,2,3,2,2,5,2,4,1,secondary school
322,5,3,3,2,4,3,4,4,5,2,2,5,2,3,5,3,4,3,1,college/bachelor degree
323,5,3,2,2,1,4,3,2,5,5,5,1,3,3,5,5,3,1,2,primary school
324,5,2,2,1,4,5,4,5,4,1,3,1,1,1,3,1,3,1,5,secondary school
325,5,3,4,2,2,2,2,5,3,2,3,2,3,3,3,3,3,2,2,primary school
326,5,3,4,4,3,3,3,4,4,4,4,5,5,2,4,3,3,4,2,secondary school
327,5,4,3,2,2,3,2,5,4,2,2,2,3,3,3,3,3,3,1,college/bachelor degree
328,5,3,3,2,1,4,4,5,3,1,1,5,4,3,4,2,3,1,2,secondary school
329,5,5,3,3,4,2,1,2,5,4,5,2,4,3,2,5,3,1,1,college/bachelor degree
330,5,3,4,2,3,3,2,4,4,1,2,4,2,2,3,2,2,3,1,primary school
331,5,3,4,2,1,4,3,3,5,3,3,3,2,3,3,4,NA,3,2,secondary school
332,5,5,3,2,3,3,3,2,5,2,2,5,1,5,5,1,2,4,1,secondary school
333,4,3,3,2,3,3,5,3,2,1,1,2,3,1,1,1,5,1,1,secondary school
334,5,2,3,2,3,3,4,5,4,2,2,3,2,3,3,2,3,2,2,secondary school
335,5,2,2,3,3,2,3,2,3,2,2,2,2,4,1,4,4,1,1,masters degree
336,5,5,4,3,2,3,3,4,4,2,2,4,4,4,3,2,2,4,2,primary school
337,5,4,3,1,2,3,2,5,3,1,2,3,3,3,2,3,1,4,2,secondary school
338,5,3,5,1,2,3,2,3,3,1,1,5,2,2,1,2,1,5,3,secondary school
339,5,3,NA,NA,NA,4,3,3,5,2,2,2,1,1,2,1,1,2,2,secondary school
340,5,3,2,2,1,5,3,2,5,5,5,1,3,3,5,5,2,1,3,primary school
341,5,1,1,3,2,5,3,2,3,1,2,3,3,2,2,4,2,1,3,primary school
342,5,4,1,1,1,1,1,2,2,2,2,5,1,1,1,1,1,5,1,primary school
343,5,3,3,2,2,2,4,3,3,1,2,4,4,3,3,3,4,3,2,secondary school
344,5,4,3,5,2,2,5,5,4,2,2,1,2,2,5,2,5,1,2,masters degree
345,5,3,2,4,4,1,2,5,3,1,1,2,1,1,4,3,3,1,1,college/bachelor degree
346,4,3,4,2,1,1,2,4,4,3,4,2,3,2,2,2,2,3,1,secondary school
347,5,4,1,1,1,1,1,3,3,1,1,5,5,1,3,1,2,4,1,primary school
348,5,4,3,2,2,2,2,4,4,4,4,2,2,NA,2,1,1,2,1,primary school
349,5,4,3,5,2,5,5,4,2,1,1,1,2,5,5,3,3,2,5,secondary school
350,5,4,5,2,1,2,3,5,2,1,1,3,2,3,3,1,2,4,1,primary school
351,2,3,4,2,2,1,1,4,4,3,3,2,3,1,1,3,1,2,1,college/bachelor degree
352,5,3,3,2,4,5,3,5,5,2,4,1,4,4,4,5,3,1,3,primary school
353,5,5,2,1,3,2,1,2,5,5,1,1,1,1,5,1,2,1,2,secondary school
354,5,3,3,1,2,3,2,4,2,1,1,4,2,2,3,5,2,1,3,secondary school
355,5,3,3,3,2,4,4,4,4,2,3,3,2,2,2,3,2,3,4,secondary school
356,5,4,2,1,3,1,2,4,3,1,1,5,2,1,2,1,3,2,1,secondary school
357,4,4,3,3,4,4,4,5,5,3,2,4,4,3,4,2,3,2,3,secondary school
358,5,4,3,1,1,2,2,2,4,4,3,5,2,2,1,1,4,3,2,secondary school
359,4,3,5,3,3,2,1,3,5,2,1,3,3,3,4,1,2,2,3,college/bachelor degree
360,5,3,4,2,4,3,2,5,2,1,2,4,4,2,3,1,3,2,3,secondary school
361,5,3,4,1,2,1,3,5,5,1,1,5,5,3,4,3,3,1,2,college/bachelor degree
362,5,1,3,5,5,5,2,2,5,4,2,3,4,5,1,1,1,1,1,college/bachelor degree
363,5,3,2,3,2,4,5,3,5,4,5,2,4,NA,4,3,4,2,4,college/bachelor degree
364,5,3,1,3,2,4,5,3,5,3,5,2,4,1,4,4,4,1,5,college/bachelor degree
365,2,4,4,2,3,3,2,4,5,4,3,3,3,2,4,3,1,2,1,college/bachelor degree
366,5,3,2,2,3,4,2,1,5,4,5,1,5,4,5,5,1,2,4,college/bachelor degree
367,5,2,2,1,2,2,2,4,4,2,2,3,3,1,1,1,1,3,1,college/bachelor degree
368,5,3,3,1,3,4,1,5,5,4,4,1,2,5,5,5,1,3,1,secondary school
369,5,4,5,2,2,3,3,5,3,1,1,3,4,3,3,1,5,NA,3,primary school
370,5,3,5,3,2,1,1,NA,2,4,2,3,2,1,2,3,1,5,1,primary school
371,5,4,3,3,2,4,3,5,5,3,3,4,3,3,3,2,4,1,2,secondary school
372,5,3,5,5,5,5,5,5,5,3,3,2,2,5,5,3,5,2,5,secondary school
373,4,4,2,2,2,2,2,2,4,2,5,1,4,2,3,4,2,4,2,secondary school
374,5,4,2,1,1,1,1,5,3,1,1,2,1,1,1,1,1,1,1,college/bachelor degree
375,5,3,5,2,2,1,2,5,3,1,1,3,3,2,2,1,2,3,1,secondary school
376,5,3,4,2,1,1,3,5,4,2,2,5,2,2,1,1,3,NA,1,secondary school
377,5,5,NA,1,1,1,1,4,1,1,1,5,1,1,1,1,2,1,1,secondary school
378,5,3,2,3,3,4,2,3,5,4,3,1,3,4,4,5,3,1,1,secondary school
379,5,5,5,NA,2,2,4,5,4,1,1,4,5,1,2,2,3,3,1,secondary school
380,5,3,5,4,3,4,5,4,4,2,2,3,3,4,3,2,4,2,4,masters degree
381,5,4,4,3,2,2,3,4,4,1,1,4,2,2,4,2,5,5,1,secondary school
382,5,4,2,2,3,4,3,2,5,3,3,1,1,3,3,3,2,1,4,secondary school
383,5,3,4,3,4,2,2,5,1,1,1,4,2,1,2,2,5,4,1,secondary school
384,5,3,2,2,2,3,4,3,5,3,4,3,3,3,3,5,1,2,3,college/bachelor degree
385,5,4,3,1,1,2,3,3,5,5,3,4,4,4,4,5,2,1,1,secondary school
386,5,3,5,4,4,5,4,4,5,3,3,4,5,5,5,4,5,3,3,college/bachelor degree
387,5,3,3,2,1,2,3,4,5,3,3,5,4,2,3,3,2,4,1,secondary school
388,5,3,5,2,2,2,4,5,2,1,1,5,5,3,3,2,5,2,1,masters degree
389,5,3,3,4,2,4,4,5,4,1,3,4,5,5,4,3,5,3,3,masters degree
390,5,4,3,2,2,3,3,3,2,1,1,2,2,4,3,2,5,1,2,secondary school
391,4,3,1,1,2,3,2,2,2,1,2,2,2,3,3,4,3,3,3,secondary school
392,4,4,3,3,3,3,3,3,3,2,1,3,3,3,3,2,2,1,2,masters degree
393,5,4,4,3,1,3,2,4,3,1,1,5,3,1,2,2,5,2,1,masters degree
394,5,4,1,1,3,1,1,1,3,5,3,2,1,1,2,2,1,1,1,secondary school
395,5,3,3,1,1,2,1,3,4,2,1,1,2,2,3,2,2,1,1,masters degree
396,5,4,3,1,3,1,2,3,4,5,3,3,2,2,4,5,1,5,1,college/bachelor degree
397,5,3,3,4,2,5,4,3,3,1,1,2,3,4,3,1,2,2,5,primary school
398,5,3,3,5,2,2,3,4,1,1,1,4,2,1,2,1,4,1,1,college/bachelor degree
399,5,4,3,3,2,2,2,2,3,3,3,5,5,3,4,3,4,5,2,college/bachelor degree
400,5,4,2,4,1,5,5,4,4,3,4,2,4,3,3,4,2,1,5,secondary school
401,5,3,4,1,2,3,1,4,2,1,1,3,3,2,2,2,1,4,3,secondary school
402,5,3,2,1,3,1,3,2,5,4,1,1,1,1,2,2,3,1,2,secondary school
403,5,3,5,5,1,5,2,4,5,4,1,1,1,1,1,NA,1,3,3,masters degree
404,2,3,2,3,3,3,4,3,4,2,2,2,4,2,4,3,3,1,3,secondary school
405,5,3,4,5,5,5,2,4,5,1,5,3,2,2,5,5,1,5,3,college/bachelor degree
406,4,3,3,3,3,3,3,3,2,1,2,4,2,4,3,3,3,2,3,secondary school
407,5,3,4,5,1,4,5,5,4,1,1,3,3,4,4,1,5,4,4,secondary school
408,5,3,4,2,3,3,3,3,3,1,3,3,3,5,3,2,2,2,2,secondary school
409,5,5,3,4,3,5,5,3,1,1,1,1,1,4,5,3,5,1,5,college/bachelor degree
410,5,4,5,1,5,1,5,4,4,1,3,4,2,3,4,3,2,4,1,currently a primary school pupil
411,5,5,4,2,1,3,1,4,5,1,5,4,1,1,5,3,1,1,1,secondary school
412,5,3,3,2,2,3,4,5,5,1,1,4,2,4,3,1,5,2,2,secondary school
413,5,5,3,1,1,1,1,3,5,5,1,1,1,1,1,1,1,5,1,secondary school
414,5,3,4,3,1,2,2,4,4,4,4,2,2,2,4,2,2,3,2,secondary school
415,5,3,4,3,2,5,3,5,3,2,1,3,2,3,4,4,2,2,2,college/bachelor degree
416,5,3,3,1,1,1,1,5,5,1,2,4,2,1,5,3,3,3,1,secondary school
417,4,2,5,1,1,4,2,4,3,2,2,3,2,2,2,1,3,4,1,secondary school
418,5,5,1,2,1,2,2,1,2,4,5,1,5,1,4,4,1,1,2,secondary school
419,5,1,4,4,2,2,3,5,1,1,1,1,2,1,2,2,4,1,2,primary school
420,5,3,5,2,5,5,5,5,5,1,1,3,3,4,5,5,3,3,5,secondary school
421,5,4,1,1,1,3,1,2,5,3,5,1,3,2,1,1,1,1,3,secondary school
422,5,2,2,3,2,5,5,5,4,1,1,2,2,5,3,2,3,2,3,secondary school
423,5,5,4,1,1,1,4,5,1,1,1,4,2,1,1,1,5,5,3,college/bachelor degree
424,5,2,3,2,1,3,3,5,4,3,3,1,3,3,3,3,3,2,3,masters degree
425,5,5,5,3,3,2,2,3,NA,1,1,5,NA,4,1,1,2,5,1,secondary school
426,5,3,3,1,1,2,3,4,5,3,5,3,4,3,4,5,1,2,3,secondary school
427,5,2,1,1,1,1,1,2,5,4,1,1,3,4,4,4,2,1,1,masters degree
428,5,3,3,3,1,5,1,2,3,1,2,2,3,5,3,5,3,2,4,secondary school
429,5,3,5,3,2,4,5,5,3,2,4,3,2,2,2,1,2,3,3,primary school
430,5,4,2,1,2,3,2,2,5,4,4,2,1,2,3,NA,1,1,2,secondary school
431,5,5,3,3,3,4,2,4,4,2,2,2,4,3,3,3,4,3,2,masters degree
432,4,3,4,1,3,2,3,2,2,1,1,3,3,3,2,2,4,5,4,secondary school
433,5,3,2,2,2,3,1,1,5,4,3,3,3,3,4,5,3,1,1,secondary school
434,5,3,4,4,4,2,4,5,4,3,4,2,2,2,3,5,3,2,2,secondary school
435,5,4,4,1,2,2,3,5,3,1,1,4,3,3,2,1,5,4,1,secondary school
436,5,3,1,1,1,1,2,3,5,5,3,2,1,1,5,3,1,1,1,secondary school
437,4,3,2,2,2,2,1,4,4,2,2,2,3,2,3,2,4,3,2,secondary school
438,5,3,2,1,1,1,2,3,3,1,2,3,1,1,3,1,1,4,1,secondary school
439,5,3,1,1,1,2,3,4,5,4,4,4,3,1,2,1,2,1,2,secondary school
440,5,5,5,2,2,1,1,4,2,1,1,4,2,2,3,3,2,4,1,secondary school
441,5,3,4,1,2,4,3,4,4,1,1,3,3,3,4,3,3,4,1,secondary school
442,5,1,3,2,1,2,2,5,NA,1,3,1,1,1,1,1,5,1,1,college/bachelor degree
443,5,3,4,2,4,3,3,5,4,1,4,3,4,4,4,2,2,2,1,secondary school
444,4,3,2,2,2,4,3,3,3,1,2,3,3,3,3,2,3,3,3,secondary school
445,5,4,3,2,4,2,2,2,3,4,4,2,5,4,5,5,2,4,2,secondary school
446,5,3,4,2,2,2,3,5,3,1,1,4,2,3,2,2,5,1,1,secondary school
447,4,3,4,1,2,2,1,3,3,1,1,4,2,1,2,1,1,4,1,secondary school
448,3,2,1,3,3,3,4,1,1,1,1,1,1,1,1,1,1,1,2,masters degree
449,5,3,4,2,2,2,2,4,4,1,1,4,1,2,4,3,2,3,2,secondary school
450,5,3,3,3,1,2,5,3,4,2,2,2,3,3,5,2,5,1,1,secondary school
451,5,4,4,3,1,5,3,5,3,1,1,2,2,1,1,1,3,1,4,college/bachelor degree
452,5,3,3,2,2,3,1,4,4,1,1,3,2,3,2,2,3,3,1,college/bachelor degree
453,5,3,4,1,1,1,1,5,3,3,3,3,3,2,4,3,1,3,1,masters degree
454,5,4,2,2,1,1,5,3,4,2,2,2,3,3,5,2,5,1,1,secondary school
455,4,4,2,1,1,2,3,4,5,3,4,3,5,4,4,4,2,1,1,secondary school
456,5,3,4,2,1,2,3,5,5,2,5,3,3,2,3,2,2,4,2,secondary school
457,5,5,3,1,1,1,1,3,2,1,4,5,5,1,2,3,1,1,1,secondary school
458,5,4,4,2,1,2,1,4,5,2,3,2,2,2,3,3,2,4,1,secondary school
459,5,NA,5,5,5,5,5,5,1,1,1,5,1,1,5,5,5,5,5,secondary school
460,4,2,2,2,3,3,3,2,3,2,3,1,4,3,3,5,2,3,3,secondary school
461,5,4,3,1,1,1,1,2,4,2,4,5,5,1,1,3,1,1,1,secondary school
462,5,3,2,4,3,3,3,3,3,1,1,1,3,3,3,3,4,2,4,masters degree
463,4,3,3,1,2,3,1,3,5,1,4,3,3,3,3,4,2,3,1,college/bachelor degree
464,5,3,3,1,1,3,3,5,3,1,1,3,3,1,1,5,5,1,1,secondary school
465,5,4,4,3,3,3,2,3,4,1,4,2,3,2,4,2,5,3,2,secondary school
466,5,3,3,2,2,3,4,3,1,1,2,2,4,4,2,3,5,2,2,secondary school
467,5,3,3,1,3,3,3,4,3,1,1,4,1,3,3,1,3,5,1,college/bachelor degree
468,4,2,4,3,2,3,2,3,2,2,1,4,2,1,2,2,2,2,1,secondary school
469,5,3,3,2,4,4,2,4,5,2,2,5,4,4,5,2,2,2,2,secondary school
470,5,5,5,1,1,1,1,4,3,1,3,4,4,2,5,4,1,4,1,secondary school
471,4,3,4,3,1,2,3,5,2,1,1,3,3,2,3,1,3,1,3,secondary school
472,5,3,4,2,2,2,2,3,5,4,5,2,5,3,4,5,2,2,1,secondary school
473,3,3,2,2,4,3,2,4,3,1,2,1,1,1,2,1,1,1,2,masters degree
474,5,2,1,1,1,1,1,2,4,4,3,1,1,1,1,4,1,1,1,masters degree
475,5,3,5,1,1,3,1,5,3,1,1,5,2,1,1,3,1,5,1,secondary school
476,5,3,3,2,5,4,5,3,5,4,4,3,4,3,5,3,4,1,2,secondary school
477,5,3,2,1,1,4,3,4,5,4,3,3,3,5,5,5,5,1,2,secondary school
478,5,3,2,1,1,2,4,2,5,3,3,1,2,3,5,5,2,1,1,secondary school
479,5,4,5,2,3,2,3,4,4,2,2,2,2,2,4,4,2,3,2,masters degree
480,5,3,3,2,2,3,3,3,4,3,4,3,3,4,4,NA,4,2,2,secondary school
481,5,4,5,3,5,3,4,5,4,2,3,4,3,4,5,4,5,4,4,secondary school
482,5,4,4,4,1,5,1,1,2,4,1,1,1,4,4,4,1,5,4,college/bachelor degree
483,3,4,2,1,3,1,1,3,4,2,4,4,4,3,1,1,1,1,1,secondary school
484,5,4,3,2,1,5,3,4,5,3,5,3,2,4,3,1,5,1,1,college/bachelor degree
485,5,3,3,1,2,2,2,4,4,3,3,3,3,NA,2,2,2,2,2,secondary school
486,5,3,4,2,1,2,1,4,5,1,1,1,3,5,4,4,4,1,1,secondary school
487,3,3,4,2,2,2,1,4,2,1,1,3,2,3,3,3,3,2,1,masters degree
488,5,5,5,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,secondary school
489,5,3,2,4,3,5,4,3,5,3,2,3,3,5,5,4,3,1,4,secondary school
490,5,5,2,2,2,1,1,2,5,1,5,3,5,2,5,5,1,1,1,college/bachelor degree
491,4,3,3,2,2,2,3,3,2,1,1,5,1,1,2,1,5,4,2,primary school
492,5,3,3,2,2,2,2,4,4,2,3,3,2,2,3,1,5,1,2,secondary school
493,5,5,3,3,1,4,4,2,5,2,2,1,2,3,4,5,3,2,2,secondary school
494,5,3,4,1,2,2,1,5,3,1,1,5,2,2,3,3,4,2,1,college/bachelor degree
495,5,3,2,2,1,2,4,2,5,2,2,1,4,5,4,5,2,1,2,secondary school
496,5,3,2,1,2,2,2,3,5,2,4,2,2,1,5,5,2,2,1,secondary school
497,3,2,3,2,4,5,4,3,3,1,1,2,2,2,4,3,4,2,4,college/bachelor degree
498,5,4,3,3,3,4,4,5,5,2,3,1,3,5,5,1,4,1,5,secondary school
499,5,3,3,2,1,3,2,2,4,1,1,1,3,2,3,5,3,1,1,secondary school
500,5,4,2,4,2,3,2,4,4,2,4,1,3,1,3,3,1,3,2,secondary school
501,5,3,3,5,2,4,2,2,4,2,1,1,2,2,4,5,4,4,4,secondary school
502,5,3,4,5,3,4,2,4,4,2,2,2,2,4,4,2,5,2,2,secondary school
503,5,4,4,3,2,4,2,2,5,3,4,3,3,4,5,3,1,3,3,masters degree
504,5,3,2,2,1,5,5,4,4,1,1,1,1,1,2,1,4,5,4,masters degree
